mean_r,mean_g,mean_b,std_r,std_g,std_b,lab_L,lab_a,lab_b,sharpness,entropy,edge_density
76.595703125,85.095703125,71.171875,34.8277937273,36.8572338173,32.7076561601,34.6482039176,-5.74620695267,6.89050682686,0.0714598149061,4.79573749403,0.7314453125
93.4599609375,102.491210938,88.3388671875,39.2364422046,43.2256063896,31.7659195616,41.6740287527,-5.95742525185,6.48862302724,0.052852243185,4.86224968494,0.5615234375
88.708984375,82.4033203125,69.970703125,33.7514941415,33.4955458313,28.2872942625,34.8088243891,0.356472043426,8.10196402557,0.0240933410823,4.63471918537,0.5224609375
118.169921875,110.178710938,91.7568359375,42.6939100421,40.6739644332,40.5281592421,46.2625791598,0.321291186812,11.4675841749,0.0302633568645,4.9477737143,0.7197265625
134.663085938,135.012695312,133.829101562,45.4881376691,59.1619767018,76.7339858393,55.5745269378,0.934905162621,1.7911429924,0.0395873226225,4.94276676447,0.580078125
142.942382812,140.642578125,155.854492188,26.9495260385,36.7788362578,64.1913743303,59.1951400801,5.77405452031,-6.60409018798,0.0282916538417,4.63276604667,0.4716796875
79.947265625,76.0869140625,61.29296875,53.7698287584,48.5012611048,49.3400203366,31.4598650197,-0.964700628441,9.14290092794,0.0320155471563,4.96460164935,0.669921875
74.64453125,64.21484375,46.0205078125,56.5014052765,49.4052788327,43.0143572658,27.0646057151,1.45375260557,12.3363431436,0.0342022776604,4.87231920155,0.623046875
142.005859375,116.670898438,81.2001953125,53.302625522,49.9788050075,43.7456243343,50.0053550314,5.18947148371,23.1895035393,0.0473340526223,5.03948339979,0.63671875
111.564453125,94.025390625,82.134765625,51.9267978039,45.6769966963,46.890720305,40.6315089489,5.08343204848,9.62068699027,0.0192007739097,4.62623384407,0.4326171875
113.581054688,94.22265625,52.33203125,41.1470219398,45.0467339182,34.503978334,40.9584240713,3.03043114866,26.3391087871,0.0618837028742,4.88018596016,0.7626953125
128.861328125,135.280273438,126.365234375,40.7246651089,50.0046146457,66.6670789547,55.1371438486,-3.25576973568,4.68209591236,0.0154064409435,4.6086267585,0.47265625
130.25,157.572265625,188.056640625,34.0912722519,44.7372172336,62.4342522526,63.47570772,-1.84033598808,-18.2781207727,0.0464954636991,4.71214874538,0.646484375
69.0390625,69.4228515625,68.9775390625,69.4484579949,71.4350113389,72.3008477229,28.1108600727,-0.101653258013,0.269735769743,0.0342765152454,4.75430055447,0.521484375
139.272460938,135.719726562,130.548828125,83.0845118936,82.6376489084,82.5647683651,54.825145076,0.408621927426,3.30427327389,0.0591314285994,5.21447265913,0.638671875
